Name,UID,Code,ReferenceKF,Version,Owner,LinkToKB
Pre-inspection Site Assessment,SOP001,SOP001,KF_03,1.0,Operations,KB004
On-roof Safety Checklist,SOP002,SOP002,KF_04,1.0,Operations,
Post-service Handover & Documentation,SOP003,SOP003,KF_05,1.0,Operations,
Customer Quote Follow-up Process,SOP004,SOP004,KF_02,1.0,Operations,
Damage Assessment & Reporting,SOP005,SOP005,KF_03,1.0,Operations,
Warranty Claim Handling,SOP006,SOP006,KF_06,1.0,Operations,
Vehicle & Equipment Checklist,SOP007,SOP007,KF_04,1.0,Operations,
Quality Assurance for Restoration,SOP008,SOP008,KF_05,1.0,Operations,
Template Use & Branding,SOP009,SOP009,KF_00,1.0,Operations,
Data Entry Standards for Notion Import,SOP010,SOP010,KF_08,1.0,Operations,
